EntrezID	GeneSymbol	Zuber_Essential_new	GeneAliases	Chromosom
3735	KARS	essential_core	CMTRIB|DFNB89|KARS1|KARS2|KRS	16q23.1
3832	KIF11	essential_core	EG5|HKSP|KNSL1|MCLMR|TRIP5	10q23.33
3837	KPNB1	essential_core	IMB1|IPO1|IPOB|Impnb|NTF97	17q21.32
4141	MARS	essential_core	CMT2U|ILFS2|ILLD|METRS|MRS|MTRNS|SPG70	12q13.3
4144	MAT2A	essential_core	MATA2|MATII|SAMS2	2p11.2
4149	MAX	essential_core	bHLHd4	14q23.3
4171	MCM2	essential_core	BM28|CCNL1|CDCL1|D3S3194|DFNA70|MITOTIN|cdc19	3q21.3
4172	MCM3	essential_core	HCC5|P1-MCM3|P1.h|RLFB	6p12.2
4174	MCM5	essential_core	CDC46|P1-CDC46	22q12.3
4175	MCM6	essential_core	MCG40308|Mis5|P105MCM	2q21.3
4176	MCM7	essential_core	CDC47|MCM2|P1.1-MCM3|P1CDC47|P85MCM|PNAS146|PPP1R104	7q22.1
4236	MFAP1	essential_core	-	15q15.3
4677	NARS	essential_core	ASNRS|NARS1	18q21.31
4686	NCBP1	essential_core	CBP80|NCBP|Sto1	9q22.33
4691	NCL	essential_core	C23	2q37.1
4706	NDUFAB1	essential_core	ACP|FASN2A|SDAP	16p12.2
4738	NEDD8	essential_core	NEDD-8	14q12
4809	NHP2L1	essential_core	15.5K|FA-1|FA1|NHP2L1|NHPX|OTK27|SNRNP15-5|SPAG12|SSFA1	22q13.2
4839	NOP2	essential_core	NOL1|NOP120|NSUN1|p120	12p13.31
4849	CNOT3	essential_core	LENG2|NOT3|NOT3H	19q13.42
4863	NPAT	essential_core	E14|E14/NPAT|p220	11q22.3
4899	NRF1	essential_core	ALPHA-PAL	7q32.2
4998	ORC1	essential_core	HSORC1|ORC1L|PARC1	1p32.3
5111	PCNA	essential_core	ATLD2	20p12.3
5202	PFDN2	essential_core	PFD2	1q23.3
5245	PHB	essential_core	HEL-215|HEL-S-54e|PHB1	17q21.33
5347	PLK1	essential_core	PLK|STPK13	16p12.2
5393	EXOSC9	essential_core	PM/Scl-75|PMSCL1|RRP45|Rrp45p|p5|p6	4q27
5424	POLD1	essential_core	CDC2|CRCS10|MDPL|POLD	19q13.33
5425	POLD2	essential_core	-	7p13
5426	POLE	essential_core	CRCS12|FILS|POLE1	12q24.33
5427	POLE2	essential_core	DPE2	14q21.3
5430	POLR2A	essential_core	POLR2|POLRA|RPB1|RPBh1|RPO2|RPOL2|RpIILS|hRPB220|hsRPB1	17p13.1
5431	POLR2B	essential_core	POL2RB|RPB2|hRPB140	4q12
5432	POLR2C	essential_core	RPB3|RPB31|hRPB33|hsRPB3	16q21
5433	POLR2D	essential_core	HSRBP4|HSRPB4|RBP4|RPB16	2q14.3
5434	POLR2E	essential_core	RPABC1|RPB5|XAP4|hRPB25|hsRPB5	19p13.3
5435	POLR2F	essential_core	HRBP14.4|POLRF|RPABC14.4|RPABC2|RPB14.4|RPB6|RPC15	22q13.1
5438	POLR2I	essential_core	RPB9|hRPB14.5	19q13.12
5441	POLR2L	essential_core	RBP10|RPABC5|RPB10|RPB10beta|RPB7.6|hRPB7.6	11p15.5
